gene	svirid	achine	agerar	agerjg	avirgi	bdista	blagur	ccitra	crefra	cserru	etrips	hcompr	hconto	irugos	ppanic	rrottb	sbicol	smicro	sscopa	tdacn1	tdacn2	tdacs1	tdacs2	tdactm	telega	ttrian	tzopol	udigit	vcuspi	zTIL01	zTIL11	zTIL18	zTIL25	zdgigi	zdmomo	zluxur	zmB735	zmhuet	znicar	atenui	rtuber	eophiu	osativ	snutan	pprate
Pavag02G339600.1.v3.1	1	2	6	5	1	1	6	3	1	0	2	5	4	1	1	2	1	1	4	1	1	1	1	2	2	2	1	3	3	1	1	1	1	1	1	1	1	1	1	3	1	1	0	4	5
Pavag02G339700.1.v3.1	1	2	6	6	1	1	6	3	1	0	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	3	1	1	1	3	8
Pavag02G339800.1.v3.1	1	2	6	6	1	0	6	3	1	1	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	0	3	3	2	2	2	2	2	2	2	2	2	2	4	1	1	0	3	0
Pavag02G339900.1.v3.1	1	2	4	4	1	1	6	3	1	1	2	6	0	1	1	2	1	1	2	0	1	1	1	2	1	2	0	3	3	0	0	0	0	0	0	0	0	0	0	4	1	1	1	2	0
Pavag02G340100.1.v3.1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	2	0	0	0	1	1	1	0	0	0	0	1	0	0
Pavag02G340200.1.v3.1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	1	0	0	0	0	3	1
Pavag02G340300.1.v3.1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
Pavag02G340400.1.v3.1	0	0	0	0	0	0	0	0	0	2	0	0	4	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	5
Pavag02G340500.1.v3.1	0	0	0	0	0	1	3	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pavag02G340600.1.v3.1	0	0	0	0	0	0	0	3	1	0	2	6	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	3	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0
Pavag02G340700.1.v3.1	0	0	0	0	0	0	6	0	0	2	2	0	4	0	0	0	0	0	0	0	1	1	0	0	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
Pavag02G340800.1.v3.1	0	0	0	0	1	0	0	0	0	0	0	6	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	2	1	1	1	1	1	4	1	1	1	0	1
Pavag02G340900.1.v3.1	1	0	0	0	1	1	0	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	2	1	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	0	8
Pavag02G341100.1.v3.1	0	2	0	0	1	0	6	3	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	4	3	3	2	2	2	2	2	2	2	0	2	2	4	1	1	1	2	8
Pavag02G341200.1.v3.1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	2	0	0	1	1	1	1	1	1	1	1	1	1	3	0	1	0	0	7
Pavag02G341300.1.v3.1	1	2	6	4	1	1	5	3	1	2	2	6	0	0	1	2	1	1	3	1	1	1	1	2	1	2	2	3	3	1	1	1	1	1	1	1	0	1	1	3	1	1	1	0	7
Pavag02G341400.1.v3.1	1	2	6	6	1	1	0	3	1	2	1	6	4	1	1	2	1	1	0	2	2	2	2	3	2	2	4	3	3	1	2	1	1	1	1	1	1	1	1	3	1	1	1	2	0
Pavag02G341500.1.v3.1	1	2	6	6	1	0	4	3	1	2	2	0	4	1	1	2	1	1	3	1	1	1	1	2	2	0	2	2	3	1	1	1	1	1	1	1	1	1	1	3	1	1	0	3	0
Pavag02G341600.1.v3.1	1	2	6	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	2	2	2	2	2	4	2	2	4	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	0	0
Pavag02G341700.1.v3.1	1	2	6	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	2	0	1	1	1	2	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	0	0
Pavag02G342000.1.v3.1	1	2	6	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	2	2	2	2	3	3	0	2	2	2	3	2	0	2	2	2	3	1	1	1	1	7
Pavag02G342400.1.v3.1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	0	1	3	0	1	1	1	1	2	1	1	1	1	1	3	0	0	1	2	8
Pavag02G342500.1.v3.1	1	2	6	6	1	1	6	3	1	2	3	6	4	1	1	2	1	1	3	0	1	1	1	2	2	2	2	3	3	1	1	1	1	1	1	1	0	1	1	3	1	1	1	3	8
Pavag02G342600.1.v3.1	1	2	6	6	1	1	5	3	1	2	3	6	4	1	0	2	1	0	2	1	2	2	2	4	2	2	4	3	3	1	1	1	1	1	1	2	0	1	2	3	1	1	1	3	8
Pavag02G342700.1.v3.1	1	2	6	5	1	1	5	4	1	2	3	6	4	1	1	2	1	1	3	1	1	1	1	2	2	1	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	0	8
Pavag02G342800.1.v3.1	1	2	5	5	1	0	5	4	1	0	3	6	4	1	1	2	1	0	3	1	1	1	1	2	2	1	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	0	0	0
Pavag02G342900.1.v3.1	1	2	6	6	1	0	6	4	1	2	3	6	4	1	1	2	1	1	4	1	1	1	1	2	2	1	2	2	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	2	8
Pavag02G343000.1.v3.1	1	2	6	6	1	0	6	4	1	2	2	6	4	1	1	2	1	0	4	1	1	1	1	2	2	1	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	1	7
Pavag02G343200.1.v3.1	1	2	6	6	1	1	6	4	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	3	1	1	1	0	4
Pavag02G343300.1.v3.1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Pavag02G343400.1.v3.1	1	2	6	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	4	1	2	2	2	4	2	2	4	0	3	1	2	1	1	3	2	2	1	1	2	3	1	1	1	0	7
Pavag02G343500.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	0	1	1	2	1	1	3	1	2	2	2	2	2	2	4	3	3	1	1	1	1	3	1	2	1	1	2	3	1	1	1	2	0
Pavag02G343800.1.v3.1	1	2	0	0	1	1	3	3	1	2	2	5	0	1	1	0	1	1	0	0	0	0	0	0	2	0	0	0	3	1	1	1	1	1	0	1	0	1	2	3	1	0	0	0	0
Pavag02G344700.1.v3.1	0	2	4	4	1	0	6	3	1	0	2	6	4	0	1	2	1	1	4	1	1	1	1	2	2	0	0	3	3	1	0	1	1	1	1	0	1	1	0	4	1	1	0	4	0
Pavag02G344800.1.v3.1	0	2	6	5	1	1	6	3	1	1	2	6	4	1	1	2	1	1	0	0	1	1	0	2	2	1	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	4	8
Pavag02G344900.1.v3.1	0	2	6	6	1	0	6	3	1	1	2	6	4	1	1	2	1	1	0	1	2	2	2	4	2	1	4	3	3	2	2	2	2	2	2	2	1	2	3	4	1	1	1	2	0
Pavag02G345000.1.v3.1	0	2	6	6	1	0	6	3	1	1	2	6	4	1	1	2	1	1	4	1	1	1	1	2	0	1	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	0	0	0
Pavag02G345100.1.v3.1	0	2	6	6	1	1	6	3	1	1	2	6	4	1	1	2	1	1	4	1	2	2	2	4	2	1	4	3	3	1	2	0	1	1	1	2	1	1	3	4	1	1	1	1	8
Pavag02G345200.1.v3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pavag02G345300.1.v3.1	0	2	6	6	1	1	6	3	1	1	2	0	4	1	1	2	1	1	3	0	2	2	2	3	2	2	4	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	8
Pavag02G345400.1.v3.1	0	2	6	6	1	1	6	3	1	1	2	0	4	1	1	2	1	1	3	1	1	1	1	2	2	2	2	3	3	1	1	1	1	0	0	1	0	0	1	4	1	1	1	3	8
Pavag02G345700.1.v3.1	0	2	6	6	1	1	6	3	1	1	1	6	4	1	1	2	1	1	0	1	1	1	1	2	2	2	0	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	4	8
Pavag02G345800.1.v3.1	0	2	6	6	1	1	6	3	1	1	1	6	4	1	1	2	1	1	3	1	2	2	2	2	2	2	4	3	3	2	2	2	2	2	2	2	2	2	3	4	1	1	1	4	7
Pavag02G345900.1.v3.1	0	2	6	6	1	1	6	3	1	1	1	5	4	1	1	2	1	1	3	1	1	1	1	2	2	2	4	3	3	2	2	2	2	3	2	2	2	2	3	4	1	1	1	4	8
Pavag02G346100.1.v3.1	1	2	6	6	1	1	6	3	1	2	2	6	4	1	1	2	1	0	0	2	2	2	2	4	2	2	4	3	3	2	2	2	2	3	2	1	1	2	2	4	1	1	1	3	8
Pavag02G346300.1.v3.1	1	2	6	6	1	1	6	3	1	2	2	6	3	1	1	2	1	1	4	1	1	1	1	2	1	2	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	1	3	8
Pavag02G346400.1.v3.1	1	2	0	0	1	1	6	3	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	4	3	0	1	1	1	1	2	1	1	1	1	1	4	1	1	1	3	8
Pavag02G346500.1.v3.1	1	2	6	6	0	1	6	3	1	2	0	6	4	1	1	2	1	1	0	0	1	1	1	0	2	0	2	0	0	1	1	0	1	0	1	0	0	1	0	4	1	1	1	3	4
Pavag02G346600.1.v3.1	0	2	6	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	4	0	0	0	0	2	2	2	2	3	0	1	1	1	1	2	1	1	1	1	2	4	1	1	1	3	7
Pavag02G346700.1.v3.1	0	2	6	6	1	1	5	3	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	4	3	3	1	1	1	1	1	1	1	1	2	1	4	1	1	0	3	0
Pavag02G346800.1.v3.1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pavag02G346900.1.v3.1	0	0	2	3	1	0	2	1	0	1	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pavag02G347000.1.v3.1	0	0	3	5	1	0	2	2	1	1	0	0	2	0	1	2	0	1	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0
Pavag02G347300.1.v3.1	0	0	6	6	1	0	4	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	1	2	2	3	3	1	1	1	1	2	1	1	1	1	1	4	1	1	0	3	0
Pavag02G347400.1.v3.1	0	2	6	6	1	1	0	3	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	1	2	4	3	3	2	2	2	2	4	2	2	2	2	3	4	1	2	1	3	8
Pavag02G347600.1.v3.1	0	2	6	6	1	0	6	2	1	2	2	6	4	0	1	2	1	1	3	1	1	1	1	2	1	2	2	2	3	1	1	1	1	2	1	1	1	1	1	4	1	0	1	0	8
Pavag02G347700.1.v3.1	0	2	0	0	0	0	6	3	1	2	2	6	4	1	1	0	1	1	4	0	0	0	0	0	1	2	4	3	3	2	2	2	2	3	2	2	2	2	3	4	1	2	1	3	0
Pavag02G347900.1.v3.1	0	2	6	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	3	2	2	2	2	4	1	2	4	3	3	1	1	1	1	1	1	1	1	1	1	4	1	2	1	3	8
Pavag02G348000.1.v3.1	0	2	3	3	1	0	3	3	1	2	2	6	1	1	0	0	0	1	2	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	4	1	2	0	1	0
Pavag02G348100.1.v3.1	0	2	6	6	1	0	6	3	1	2	0	6	4	1	1	2	1	1	3	2	2	2	2	4	1	2	0	3	0	2	2	0	0	2	2	2	1	2	3	4	1	2	1	1	8
Pavag02G348200.1.v3.1	0	0	0	0	0	1	0	0	1	0	2	6	0	0	0	0	0	0	0	1	1	1	1	2	1	0	2	3	0	1	1	1	1	1	0	1	1	0	2	0	1	2	1	0	0
Pavag02G348300.1.v3.1	0	2	6	6	0	0	5	3	1	2	2	0	4	1	1	2	1	1	4	1	1	1	1	2	1	2	2	3	0	1	1	1	1	1	1	1	0	1	0	4	1	2	0	2	1
Pavag02G348400.1.v3.1	0	2	6	6	1	0	6	3	1	2	0	6	4	1	1	2	1	1	4	2	2	2	2	2	2	2	4	3	0	0	2	2	2	2	2	1	2	2	2	4	1	0	1	2	8
Pavag02G348500.1.v3.1	0	2	6	6	1	1	6	3	1	1	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	2	3	3	0	1	1	1	1	1	1	1	1	1	1	4	1	0	1	2	8
Pavag02G348600.1.v3.1	0	2	6	6	1	0	6	3	1	1	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	0	3	0	3	1	1	1	1	1	1	1	1	1	1	0	0	0	1	2	8
Pavag02G348700.1.v3.1	1	2	6	6	1	0	6	2	1	1	0	0	4	1	1	2	1	1	3	1	1	1	1	2	2	2	3	2	3	0	1	1	0	1	0	0	0	1	0	4	1	0	1	0	8
Pavag02G349100.1.v3.1	1	2	6	6	1	1	6	3	1	1	2	5	4	1	1	2	1	1	3	2	2	2	2	4	2	2	4	3	3	2	2	2	2	2	2	0	2	2	0	4	1	1	1	3	8
Pavag02G349300.1.v3.1	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	1	2	1	2	3	0	1	1	1	0	0	0	0	1	1	1	4	0	1	1	0	8
Pavag02G349400.1.v3.1	1	2	6	6	1	1	6	4	1	1	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	4	3	3	1	1	1	1	1	1	0	1	1	1	4	1	1	1	2	8
Pavag02G349600.1.v3.1	1	2	6	6	1	0	6	4	0	2	2	6	4	1	1	2	1	1	4	1	0	0	1	2	2	2	2	3	3	1	1	1	1	1	1	0	1	1	1	4	1	1	0	3	0
Pavag02G349800.1.v3.1	1	2	6	6	1	0	6	4	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	4	0	3	2	2	2	2	2	2	1	2	2	2	4	1	1	1	2	8
Pavag02G350000.1.v3.1	1	2	6	6	1	0	6	4	1	2	2	0	0	1	1	2	0	1	4	1	2	2	2	4	2	2	3	0	3	1	1	1	1	2	2	0	2	1	1	4	1	1	1	4	0
Pavag02G350200.1.v3.1	1	2	6	6	1	1	6	4	1	2	2	6	4	1	1	2	1	1	3	2	2	2	2	4	2	2	4	3	3	1	1	1	1	3	2	2	1	1	2	4	1	1	1	4	8
Pavag02G350300.1.v3.1	1	2	0	0	1	0	6	4	1	2	2	6	4	1	1	2	1	1	3	0	0	0	0	0	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	4	1	1	1	4	0
Pavag02G350600.1.v3.1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	1	1	2	2	0	2	0	3	1	1	1	0	1	1	1	1	1	1	4	0	0	0	0	1
Pavag02G351000.1.v3.1	0	2	6	6	1	0	6	4	1	2	2	6	4	1	1	2	1	1	3	2	2	2	2	4	2	2	3	0	3	2	2	2	2	3	2	2	2	2	2	4	1	0	1	4	8
Pavag02G351100.1.v3.1	1	2	6	6	1	1	6	4	1	2	2	6	4	1	1	2	1	1	3	1	2	2	1	2	2	2	3	3	3	2	2	2	2	3	2	2	2	2	2	4	1	1	1	4	8
Pavag02G351200.1.v3.1	1	2	6	6	1	0	6	4	1	0	2	6	4	1	1	2	1	1	3	2	1	2	2	4	2	2	3	3	3	2	2	2	1	2	2	2	2	2	2	4	1	0	0	2	8
Pavag02G351300.1.v3.1	1	2	6	5	1	0	6	4	1	0	2	6	4	1	1	1	1	0	0	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0
Pavag02G351400.1.v3.1	1	2	6	6	1	1	5	4	1	2	2	6	4	1	1	2	1	1	4	1	2	2	2	4	2	0	3	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	0	8
Pavag02G351600.1.v3.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pavag02G351700.1.v3.1	1	2	6	6	1	1	6	4	1	2	2	6	4	1	1	1	1	1	4	1	1	1	1	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	4	8
Pavag02G351800.1.v3.1	1	2	6	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	2	1	1	1	1	2	2	2	2	3	3	1	0	1	0	1	0	0	0	0	0	4	1	1	1	4	0
Pavag02G351900.1.v3.1	1	2	6	6	1	1	6	4	1	2	2	6	0	1	1	2	1	1	2	1	1	1	1	2	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	4	0
Pavag02G352000.1.v3.1	1	2	6	6	1	0	6	4	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	4	7
Pavag02G352100.1.v3.1	1	2	6	6	1	1	6	4	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	0	4	8
Pavag02G352200.1.v3.1	1	2	0	0	1	0	6	0	0	0	2	6	4	1	1	2	0	1	0	1	1	1	1	2	2	2	2	0	3	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0
Pavag02G352300.1.v3.1	1	0	3	3	0	0	2	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pavag02G352400.1.v3.1	1	2	6	0	1	1	6	4	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	4	3	3	2	2	2	2	2	2	2	2	2	2	4	1	1	1	2	6
Pavag02G352700.1.v3.1	1	2	0	0	1	1	6	4	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	7
Pavag02G352800.1.v3.1	1	2	0	0	1	1	6	4	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	4	1	1	1	2	8
Pavag02G352900.1.v3.1	1	2	6	0	1	1	0	4	1	0	2	0	4	1	1	2	1	1	4	1	1	1	1	2	2	2	2	3	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	3	8
Pavag02G353000.1.v3.1	1	2	6	6	1	1	0	4	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	2	2	3	0	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	8
Pavag02G353100.1.v3.1	1	2	6	6	1	1	6	4	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	0	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	0	7
Pavag02G353200.1.v3.1	1	2	6	6	0	0	6	4	1	2	0	6	4	1	1	2	1	1	3	1	1	1	1	2	1	0	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	0	0
Pavag02G353300.1.v3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Pavag02G353500.1.v3.1	0	2	6	6	1	1	6	5	0	2	2	0	4	1	1	2	1	1	3	1	1	1	1	2	2	1	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	3	8
Pavag02G353600.1.v3.1	1	2	5	6	1	1	6	5	0	2	2	0	4	1	1	2	1	1	3	1	1	1	1	2	2	1	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	4	0
Pavag02G353800.1.v3.1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pavag02G354200.1.v3.1	1	0	4	4	1	0	0	5	0	2	0	5	4	1	0	0	1	1	4	0	0	0	0	0	2	1	0	3	3	0	0	0	0	0	0	0	0	0	0	3	1	0	1	4	4
Pavag02G354400.1.v3.1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8
Pavag02G354500.1.v3.1	1	1	6	6	1	0	6	5	0	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	2	1	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	3	8
Pavag02G354600.1.v3.1	1	1	6	6	1	0	6	5	0	2	2	6	4	1	1	2	1	1	3	2	2	2	2	4	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	4	1	1	1	3	0
Pavag02G354700.1.v3.1	1	1	6	6	1	0	6	5	0	2	2	6	4	1	1	2	1	1	3	2	2	2	2	4	2	2	3	0	3	0	2	2	2	0	0	0	2	2	2	4	1	1	1	3	8
Pavag02G354800.1.v3.1	1	1	6	6	1	0	6	5	0	2	0	6	4	1	1	2	1	1	4	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	4	1	1	0	2	0
Pavag02G354900.1.v3.1	1	1	6	5	1	0	5	5	0	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	3	8
Pavag02G355000.1.v3.1	1	1	6	6	1	0	6	5	0	2	2	6	4	1	1	2	1	1	3	2	2	2	2	4	2	2	4	3	3	2	2	2	2	2	2	2	2	2	2	4	1	1	1	4	8
Pavag02G355300.1.v3.1	1	1	6	6	1	0	6	5	0	2	2	6	4	1	1	2	1	1	0	1	1	1	1	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	0	1	4	8
Pavag02G355400.1.v3.1	1	1	6	6	1	0	6	5	0	2	0	6	4	1	1	2	1	1	0	2	2	2	2	4	2	2	3	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	3	8
Pavag02G355500.1.v3.1	1	1	6	6	1	0	5	5	1	1	3	6	4	1	1	0	1	1	0	1	0	0	1	0	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	0	2	0
Pavag02G355600.1.v3.1	1	1	6	6	1	0	6	5	1	1	3	6	4	1	1	2	1	1	0	1	1	1	1	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	0	2	2
Pavag02G355700.1.v3.1	1	1	5	6	1	0	4	5	1	1	3	6	4	1	1	2	1	1	0	2	0	0	2	4	2	0	4	3	3	2	2	2	2	2	2	2	2	2	2	4	1	1	1	0	8
Pavag02G355800.1.v3.1	1	1	5	6	1	0	0	5	1	2	2	6	0	1	1	2	1	1	4	2	2	2	2	4	2	0	4	3	3	2	2	2	2	3	2	2	2	2	2	4	1	1	1	0	7
Pavag02G355900.1.v3.1	1	1	6	6	1	0	5	5	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	0	4	3	3	2	2	2	2	3	3	2	2	2	2	4	1	1	1	0	7
Pavag02G356300.1.v3.1	1	0	0	0	0	0	0	0	0	2	2	0	0	1	1	2	1	0	0	0	1	1	1	1	2	0	2	0	3	1	1	1	1	2	2	1	1	1	1	0	1	0	1	0	8
Pavag02G356400.1.v3.1	1	2	0	6	1	0	6	5	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	4	2	0	4	0	3	1	1	1	1	1	1	1	1	1	1	4	1	1	0	1	0
Pavag02G357300.1.v3.1	1	0	2	2	0	0	0	4	0	0	0	6	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0
Pavag02G357500.1.v3.1	0	0	6	5	1	0	0	5	1	1	2	6	4	0	1	2	1	1	2	2	2	2	2	5	2	2	4	3	3	2	2	2	2	2	0	2	2	2	2	3	1	1	1	4	7
Pavag02G357600.1.v3.1	0	2	6	5	1	0	6	5	1	1	1	6	4	1	1	2	1	1	2	1	1	1	1	1	2	0	2	0	2	1	1	1	1	1	1	1	1	1	1	3	1	1	0	4	0
Pavag02G357700.1.v3.1	0	0	0	6	1	1	6	5	1	2	2	4	4	1	1	2	1	1	0	0	0	0	0	0	2	2	0	3	3	0	0	0	0	0	0	0	0	0	0	3	1	1	0	3	8
Pavag02G357800.1.v3.1	0	2	6	6	1	0	2	4	0	1	2	0	0	1	0	2	1	0	0	2	2	2	2	5	1	2	3	2	2	2	2	1	1	2	3	1	1	1	1	3	0	0	0	2	0
Pavag02G357900.1.v3.1	0	0	0	0	0	1	4	1	1	1	0	4	4	0	1	0	0	1	2	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	8
Pavag02G358000.1.v3.1	0	2	6	6	1	1	6	5	1	2	2	4	4	0	1	2	1	1	0	1	1	1	1	3	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	3	0	0	1	3	8
Pavag02G358300.1.v3.1	1	2	6	6	1	1	6	5	1	1	2	6	4	1	1	2	1	1	2	2	2	2	2	5	1	2	4	3	3	2	2	2	2	4	3	2	2	2	2	3	1	0	1	3	8
Pavag02G358400.1.v3.1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
Pavag02G358500.1.v3.1	1	2	6	6	1	1	6	5	1	1	2	6	4	1	1	2	1	1	3	2	2	2	2	5	1	2	4	3	3	2	2	2	2	4	3	2	2	2	2	3	1	1	1	3	8
Pavag02G358600.1.v3.1	1	2	6	6	1	1	5	5	1	1	2	6	4	1	1	2	1	1	2	1	1	1	1	3	1	2	2	3	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	4	8
Pavag02G358700.1.v3.1	1	2	4	4	1	0	0	5	1	1	2	6	4	1	1	2	1	1	4	1	1	1	1	3	1	2	2	3	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	0
Pavag02G358800.1.v3.1	1	2	4	4	1	1	5	5	1	1	2	6	4	1	1	2	1	1	4	1	1	1	1	3	1	1	2	3	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	4	8
Pavag02G358900.1.v3.1	1	2	4	4	1	1	6	5	1	1	2	6	4	1	1	2	1	1	4	1	1	1	1	3	1	1	2	3	3	1	1	1	1	1	1	1	1	1	1	3	1	1	0	4	7
